emp_no,dept_no,from_date,to_date,emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no,dept_name
110232,d003,1995-12-31,9999-01-01,110232,1960-09-23,Sahrah,Szilard,M,1995-12-31,d003,"Human Resources"
110233,d003,1997-11-24,2003-11-23,110233,1964-09-25,Shigeu,Suermann,M,1997-11-24,d003,"Human Resources"
110234,d003,1993-12-02,1999-12-01,110234,1963-11-04,Frederique,Marchesini,F,1993-12-02,d003,"Human Resources"
110235,d003,1995-07-06,2000-07-04,110235,1953-07-25,Chuanyi,Maraist,M,1995-07-06,d003,"Human Resources"
110236,d003,1992-05-04,2000-05-02,110236,1952-05-08,Yurii,Sury,F,1992-05-04,d003,"Human Resources"
110237,d003,1992-10-01,2000-09-29,110237,1952-11-30,Karsten,Boyle,M,1992-10-01,d003,"Human Resources"
110238,d003,1994-05-15,2000-05-27,110238,1958-02-27,Macha,Ginneken,F,1994-05-15,d003,"Human Resources"
110239,d003,1997-05-29,2000-05-27,110239,1953-09-06,Branimir,Streit,M,1997-05-29,d003,"Human Resources"
110240,d003,2000-05-29,9999-01-01,110240,1964-04-01,Radhika,Rousseau,F,2000-05-29,d003,"Human Resources"
110303,d004,1992-12-30,1999-12-29,110303,1956-06-08,Krassimir,Wegerle,F,1992-12-30,d004,Production
110344,d004,1991-11-21,1996-11-19,110344,1961-09-07,Rosine,Cools,F,1991-11-21,d004,Production
110386,d004,1994-10-13,1999-10-12,110386,1953-10-04,Shem,Kieras,M,1994-10-13,d004,Production
110420,d004,1994-02-04,9999-01-01,110420,1963-07-27,Oscar,Ghazalie,M,1994-02-04,d004,Production
110421,d004,1991-01-30,1996-06-07,110421,1959-06-02,Aria,Baer,M,1991-01-30,d004,Production
110422,d004,1990-03-11,1993-07-18,110422,1952-09-18,Nahid,Sury,M,1990-03-11,d004,Production
110423,d004,1991-03-23,1996-03-21,110423,1952-03-04,Candida,Riefers,M,1991-03-23,d004,Production
110424,d004,1990-07-15,1992-02-11,110424,1960-05-19,Ipke,Benzaken,M,1990-07-15,d004,Production
110425,d004,1992-12-30,2001-12-28,110425,1961-10-25,Qingxiang,Homond,M,1992-12-30,d004,Production
110426,d004,1993-04-25,1998-10-18,110426,1956-10-21,Hitofumi,Gomatam,M,1993-04-25,d004,Production
110427,d004,1993-03-30,1998-03-29,110427,1963-11-05,Aran,Salverda,M,1993-03-30,d004,Production
110428,d004,1996-02-20,2001-02-18,110428,1952-05-19,Malu,Kaiser,M,1996-02-20,d004,Production
110429,d004,1995-06-14,2004-12-27,110429,1955-12-12,Sampalli,Kuhnemann,F,1995-06-14,d004,Production
110430,d004,1998-05-29,2000-05-27,110430,1963-05-19,Pintsang,Swan,M,1998-05-29,d004,Production
110511,d005,1991-12-31,2000-12-28,110511,1957-07-08,DeForest,Hagimont,M,1991-12-31,d005,Development
110567,d005,1992-04-25,1997-10-18,110567,1964-04-25,Leon,DasSarma,F,1992-04-25,d005,Development
110568,d005,1990-01-05,2003-08-20,110568,1963-05-13,Mats,Kruskal,M,1990-01-05,d005,Development
110569,d005,1994-10-03,1998-10-02,110569,1963-02-06,Jasminko,Sadowsky,M,1994-10-03,d005,Development
110570,d005,1997-04-07,2001-04-06,110570,1956-11-04,Isamu,Kobuchi,F,1997-04-07,d005,Development
110571,d005,1999-02-28,9999-01-01,110571,1963-05-21,Rafael,Roohalamini,M,1999-02-28,d005,Development
110572,d005,1993-02-20,1998-02-19,110572,1958-12-29,Renee,Begiun,M,1993-02-20,d005,Development
110573,d005,1992-06-14,1994-01-11,110573,1960-02-13,Kiyotoshi,Bultermann,M,1992-06-14,d005,Development
110574,d005,1994-11-30,2003-11-28,110574,1958-08-16,Bingning,Harnett,F,1994-11-30,d005,Development
110575,d005,1995-03-26,2000-09-17,110575,1962-06-01,Sachar,Guenter,F,1995-03-26,d005,Development
110576,d005,1995-02-28,2000-02-27,110576,1954-01-07,Abdelwaheb,Chvatal,M,1995-02-28,d005,Development
110577,d005,1992-01-29,1996-09-27,110577,1958-06-30,Zhonghua,Plavsic,F,1992-01-29,d005,Development
110578,d005,1999-03-12,2000-01-21,110578,1955-08-01,Maya,Ferretti,F,1999-03-12,d005,Development
110579,d005,1998-05-29,9999-01-01,110579,1970-04-22,Martina,Gimbel,F,1998-05-29,d005,Development
110725,d006,1995-12-30,2001-12-28,110725,1961-03-14,Peternela,Onuegbe,F,1995-12-30,d006,"Quality Management"
110765,d006,1992-01-07,1998-01-05,110765,1954-05-22,Rutger,Hofmeyr,F,1992-01-07,d006,"Quality Management"
110800,d006,1993-08-10,1998-08-09,110800,1963-02-07,Sanjoy,Quadeer,F,1993-08-10,d006,"Quality Management"
110854,d006,1990-06-09,1998-06-07,110854,1960-08-19,Dung,Pesch,M,1990-06-09,d006,"Quality Management"
110855,d006,1994-05-14,2000-05-12,110855,1954-12-24,Uri,Conta,M,1994-05-14,d006,"Quality Management"
110856,d006,1993-05-12,1998-05-11,110856,1961-12-09,Jayesh,Basart,F,1993-05-12,d006,"Quality Management"
110857,d006,1991-03-04,1996-03-02,110857,1962-09-07,Parto,Gente,M,1991-03-04,d006,"Quality Management"
110858,d006,1990-06-27,1995-06-26,110858,1959-09-12,Sreekrishna,Erde,M,1990-06-27,d006,"Quality Management"
110859,d006,1996-12-29,2002-12-28,110859,1957-06-18,Gina,Condotta,F,1996-12-29,d006,"Quality Management"
110860,d006,1993-01-06,1999-01-05,110860,1956-06-04,Henk,Oehlmann,F,1993-01-06,d006,"Quality Management"
110861,d006,1994-08-10,1999-08-09,110861,1954-09-14,Oscar,Lakshmanan,F,1994-08-10,d006,"Quality Management"
110862,d006,1991-06-09,1999-06-07,110862,1955-10-02,Syozo,Schwaller,M,1991-06-09,d006,"Quality Management"
110863,d006,1995-05-14,2001-05-12,110863,1961-02-09,Erzsebet,Hennebert,M,1995-05-14,d006,"Quality Management"
110864,d006,1994-05-12,1999-05-11,110864,1959-01-19,Herbert,Emden,M,1994-05-12,d006,"Quality Management"
110865,d006,1992-03-03,1997-03-02,110865,1954-09-27,Tristan,Facello,F,1992-03-03,d006,"Quality Management"
110866,d006,1990-06-18,1994-12-23,110866,1954-09-21,Takahito,Legleitner,M,1990-06-18,d006,"Quality Management"
110867,d006,1993-05-17,1998-05-16,110867,1964-10-23,Subhankar,Baig,M,1993-05-17,d006,"Quality Management"
110868,d006,1994-12-30,2000-12-28,110868,1956-12-19,Chinya,Janetzko,M,1994-12-30,d006,"Quality Management"
110869,d006,1998-05-29,2000-11-27,110869,1965-01-15,Brewster,Bade,M,1998-05-29,d006,"Quality Management"
111035,d007,1992-12-30,1998-12-29,111035,1962-02-24,Przemyslawa,Kaelbling,M,1992-12-30,d007,Sales
111133,d007,1991-12-29,1996-12-27,111133,1955-03-16,Hauke,Zhang,M,1991-12-29,d007,Sales
111134,d007,1992-06-13,1998-06-12,111134,1953-05-21,Bilhanan,Famili,M,1992-06-13,d007,Sales
111135,d007,1994-01-14,1999-01-13,111135,1956-12-12,Wilmer,Lindenbaum,M,1994-01-14,d007,Sales
111136,d007,1994-06-13,2001-06-11,111136,1959-01-11,Jeong,Crouzet,M,1994-06-13,d007,Sales
111137,d007,1993-05-04,1998-05-03,111137,1962-05-12,Sven,Alpin,M,1993-05-04,d007,Sales
111138,d007,1996-03-26,2001-03-25,111138,1962-05-17,Deniz,Rodier,M,1996-03-26,d007,Sales
111139,d007,1995-07-19,9997-06-15,111139,1964-06-16,Ennio,Belinskaya,M,1995-07-19,d007,Sales
111140,d007,1997-06-12,2003-06-11,111140,1953-11-29,Tristan,Birta,F,1997-06-12,d007,Sales
111141,d007,1993-06-20,1999-06-19,111141,1961-07-01,Doowon,Dehkordi,F,1993-06-20,d007,Sales
111142,d007,1995-01-22,2000-01-21,111142,1953-08-29,Hilari,Denny,M,1995-01-22,d007,Sales
111143,d007,1991-11-21,1999-11-19,111143,1957-03-20,Abdelghani,Hmelo,F,1991-11-21,d007,Sales
111144,d007,1992-06-13,1999-06-12,111144,1962-11-02,Hongzue,Hammerschmidt,M,1992-06-13,d007,Sales
111145,d007,1990-01-05,1995-06-13,111145,1956-04-27,Kellie,Leaver,M,1990-01-05,d007,Sales
111146,d007,1991-01-15,1996-01-14,111146,1963-03-08,Fox,Brookman,M,1991-01-15,d007,Sales
111147,d007,1995-10-06,2001-10-04,111147,1953-05-14,Fei,Gips,F,1995-10-06,d007,Sales
111148,d007,1991-10-14,1997-10-12,111148,1959-07-30,Tomofumi,Hoppenstand,M,1991-10-14,d007,Sales
111149,d007,1999-05-29,2000-05-27,111149,1961-05-11,Geoffry,Koyama,M,1999-05-29,d007,Sales
111150,d007,2000-05-29,2005-04-27,111150,1964-10-15,Masako,Limongiello,F,2000-05-29,d007,Sales
111400,d008,1990-03-11,1999-12-29,111400,1959-11-09,Arie,Staelin,M,1990-03-11,d008,Research
111534,d008,1991-01-30,1999-01-28,111534,1952-06-27,Hilary,Kambil,F,1991-01-30,d008,Research
111535,d008,1996-06-12,1999-06-12,111535,1961-06-23,Mingdong,Nivat,F,1996-06-12,d008,Research
111536,d008,1997-09-21,9999-06-15,111536,1964-01-31,Aiichiro,Ghandeharizadeh,M,1997-09-21,d008,Research
111537,d008,1992-06-13,1998-06-12,111537,1964-04-04,Krisda,Barbanera,M,1992-06-13,d008,Research
111538,d008,1994-01-14,1999-01-13,111538,1964-07-21,Suebskul,Raczkowsky,M,1994-01-14,d008,Research
111539,d008,1994-06-13,2001-06-11,111539,1960-03-20,Sanjit,Kuhnemann,F,1994-06-13,d008,Research
111540,d008,1993-05-04,1998-05-03,111540,1953-06-05,Guiseppe,DasSarma,F,1993-05-04,d008,Research
111541,d008,1996-03-26,2001-03-25,111541,1952-12-13,Pranas,Boyle,M,1996-03-26,d008,Research
111542,d008,1995-07-19,9999-06-15,111542,1957-10-30,Gregory,Kusalik,M,1995-07-19,d008,Research
111543,d008,1997-06-12,2003-06-11,111543,1964-02-01,Lidong,Hiltgen,M,1997-06-12,d008,Research
111544,d008,1993-06-20,1999-06-19,111544,1958-12-28,Lena,Lueh,M,1993-06-20,d008,Research
111545,d008,1999-05-29,9999-01-01,111545,1957-09-25,Larisa,Polajnar,F,1999-05-29,d008,Research
111692,d009,1991-05-20,2001-12-28,111692,1954-10-05,Tonny,Butterworth,F,1991-05-20,d009,"Customer Service"
111784,d009,1993-02-10,1997-02-09,111784,1956-06-14,Marjo,Giarratana,F,1993-02-10,d009,"Customer Service"
111877,d009,1995-08-16,1999-08-15,111877,1962-10-18,Xiaobin,Spinelli,F,1991-08-17,d009,"Customer Service"
111939,d009,1997-07-08,9999-01-01,111939,1963-11-29,Chenye,Coombs,M,1997-07-08,d009,"Customer Service"
111940,d009,1996-09-20,2002-09-19,111940,1961-02-01,Navid,Covnot,M,1996-09-20,d009,"Customer Service"
111941,d009,1992-09-28,1998-09-27,111941,1953-10-05,Owen,Baezner,M,1992-09-28,d009,"Customer Service"
111942,d009,1994-05-02,1999-05-01,111942,1953-07-05,Udaiprakash,Kuhnemann,F,1994-05-02,d009,"Customer Service"
111943,d009,1991-03-01,1999-02-27,111943,1964-05-24,Takahira,Azumi,M,1991-03-01,d009,"Customer Service"
111944,d009,1995-02-03,2001-02-01,111944,1955-03-19,Youssef,Minakawa,F,1995-02-03,d009,"Customer Service"
111945,d009,1994-02-01,1999-01-31,111945,1957-10-02,Katsuyuki,Egerstedt,F,1994-02-01,d009,"Customer Service"
111946,d009,1995-02-01,2000-01-31,111946,1958-08-05,Xiong,Perfilyeva,M,1995-02-01,d009,"Customer Service"
111947,d009,1996-02-01,2001-01-30,111947,1955-01-30,Xiong,Gurbaxani,M,1996-02-01,d009,"Customer Service"
111948,d009,1997-01-31,2002-01-30,111948,1953-04-13,Idoia,Angelopoulos,F,1997-01-31,d009,"Customer Service"
111949,d009,1992-01-22,1998-01-20,111949,1964-05-06,Marke,Kawashima,M,1992-01-22,d009,"Customer Service"
111950,d009,1993-08-25,1998-08-24,111950,1960-10-01,Sastry,Solares,F,1993-08-25,d009,"Customer Service"
111951,d009,1990-06-24,1998-06-22,111951,1960-05-17,Werner,Fairtlough,F,1990-06-24,d009,"Customer Service"
111952,d009,1994-05-29,2000-05-27,111952,1963-08-15,Deniz,Osgood,M,1994-05-29,d009,"Customer Service"
112000,d009,1998-05-29,2000-06-23,112000,1952-07-08,Domenick,Dalphin,M,1998-05-29,d009,"Customer Service"
112001,d009,1999-05-29,2000-06-27,112001,1963-07-22,Takushi,Orlowski,F,1999-05-29,d009,"Customer Service"
112002,d009,1999-05-29,2002-01-22,112002,1959-09-13,Noritoshi,Hasham,F,1999-05-29,d009,"Customer Service"
112003,d009,2000-05-29,2008-10-14,112003,1956-02-26,Sastry,Quadeer,F,2000-05-29,d009,"Customer Service"
112004,d009,2000-05-29,2009-01-15,112004,1960-09-19,Oscal,Collette,M,2000-05-29,d009,"Customer Service"
